"contributor_id","external_id","answers_count","gold_count","missed_gold_count","channel","contributor_country","contributor_city","contributor_last_ip","trust_overall","submission_rate"
"32462208","5857C5E73D9C0F3CBD9CE4BD64DFB8C1","55","15","3","neodev","SRB","Belgrade","93.86.170.236","0.8000","300"
"32566236","1308503","100","25","4","tremorgames","FRA","Paris","82.234.241.249","0.8400","43"
"32568930","7495157","80","17","3","clixsense","RUS","Ulyanovsk","2.94.119.193","0.8235","10"
"32642091","61C2A20B88F4BF952BFA95FAD8D0CB36","40","12","1","neodev","SRB","Belgrade","109.92.102.103","0.9167","300"
"32717039","16","25","9","1","indivillagetest","IND",,"202.53.75.92","0.8889","300"
"32717040","22","85","21","2","indivillagetest","IND",,"202.53.75.92","0.9048","300"
"32717071","26","100","25","2","indivillagetest","IND",,"202.53.75.92","0.9200","333"
"32717608","68245","100","25","3","elite","HRV","Zagreb","89.164.229.242","0.8800","315"
"32840614","7582422","85","21","2","clixsense","DZA",,"105.108.25.145","0.9048","300"
"32850705","7589754","7","6","0","clixsense","RUS","Ufa","77.79.182.187","1.0000","210"
"32868243","30","100","25","5","indivillagetest","IND",,"202.53.75.92","0.8000","300"
"32880993","7599831","90","22","2","clixsense","SRB","Novi Sad","109.245.141.198","0.9091","60"
"32908359","6948266","45","13","2","clixsense","BRA","Itapevi","152.249.139.210","0.8462","300"
"32964147","70624","100","25","4","elite","BIH","Sarajevo","109.175.100.98","0.8400","300"
"32987051","7635418","100","25","2","clixsense","BRA","Jacarepaguá","186.205.95.72","0.9200","332"
"33003530","71036","70","18","2","elite","SRB","Belgrade","93.86.246.166","0.8889","300"
"33018241","71237","100","25","0","elite","IDN","Jakarta","202.62.17.168","1.0000","315"
"33056876","71618","100","25","2","elite","BIH","Zenica","31.176.138.178","0.9200","300"
"33061375","71707","100","25","2","elite","VNM","Tam Ky","116.98.21.217","0.9200","300"
"33088110","2103963","100","25","2","clixsense","ITA","Rome","151.24.73.222","0.9200","300"
"33102233","72249","100","25","2","elite","VNM","Hanoi","171.250.223.51","0.9200","300"
"33117353","04F190519484BCEC0FA9E28369487118","100","25","3","neodev","MNE","Podgorica","46.161.125.107","0.8800","300"
"33155316","8CE4D2FA6C338E8141A29D4352C72707","100","24","5","neodev","GBR","Bridgwater","31.50.235.103","0.7917","23"
"33270561","E21802A2C231B54FBD9CE4BD64DFB8C1","10","6","0","neodev","IND","Bangalore","117.221.97.49","1.0000","300"
"33271751","73862","100","25","0","elite","VNM","Tam Ky","171.251.24.126","1.0000","350"
"33304907","F8BBBD193FEA4CB593CA06397A287A80","15","7","1","neodev","PHL","San Andres","49.148.50.10","0.8571","300"
"33434416","mad77","50","14","3","instagc","ARE","Dubai","91.74.227.64","0.7857","300"
"33468308","7775272","85","21","4","clixsense","PAK","Islamabad","119.152.57.138","0.8095","300"
"33475144","75899","100","25","1","elite","VNM","Hanoi","117.0.173.46","0.9600","332"
"33571990","B89501857E12F82D93CA06397A287A80","15","7","1","neodev","GBR","Send","5.71.103.217","0.8571","300"
"33573033","41","85","21","2","indivillagetest","IND",,"202.53.75.92","0.9048","300"
"33699696","21E37B14A56D4E0796031965FDA9D41F","100","25","2","neodev","IDN","Jakarta","112.215.64.18","0.9200","300"
"33699952","46","100","22","0","indivillagetest","IND",,"202.53.75.92","1.0000","13"
"33750934","76BF6AD4827344CA09A3246400FC988C","10","6","1","neodev","VEN","Barquisimeto","190.207.223.20","0.8333","300"
"33801985","B224DAEB0C2113601469C240903A77DC","100","25","2","neodev","VNM","Tam Ky","116.98.21.217","0.9200","332"
"33803814","51","70","17","3","indivillagetest","IND",,"202.53.75.92","0.8235","18"
"33827460","7868425","100","25","2","clixsense","VEN","Caracas","190.203.6.67","0.9200","300"
"33827492","7867977","100","25","1","clixsense","RUS","Moscow","95.28.33.229","0.9600","300"
"33927390","80343","100","25","4","elite","SRB","Belgrade","77.46.240.116","0.8400","300"
"33934998","70820","100","25","2","elite","SRB","Belgrade","94.189.178.204","0.9200","300"
"33999110","31F2BA89D38D41A087D9602DE7E4D81B","10","6","0","neodev","BGR","Sofia","84.1.47.86","1.0000","300"
"34036027","350647","100","25","1","gifthunterclub","LTU","Vilnius","86.38.216.239","0.9600","300"
"34114378","9EA9112FD35FA6B02C49F30A9F655560","100","25","2","neodev","ROU",,"109.98.91.99","0.9200","300"
"34121020","82177","25","9","2","elite","RUS","Samara","188.162.37.91","0.7778","300"
"34126175","82224","100","25","1","elite","RUS","Moscow","93.80.37.41","0.9600","300"
"34151918","82615","100","25","1","elite","SRB","Belgrade","178.221.74.18","0.9600","300"
"34327306","84889","100","25","1","elite","VNM","Hanoi","117.0.173.46","0.9600","316"
"34367456","Want3d","35","11","0","instagc","MAR","Berrechid","41.249.164.241","1.0000","350"
"34391904","91","100","25","3","indivillagetest","IND",,"202.53.75.92","0.8800","300"
"34393447","85","45","13","1","indivillagetest","IND",,"202.53.75.92","0.9231","300"
"34443633","8214978F72CF7F6D918922EDCDEE9BBA","100","25","2","neodev","BGD",,"180.211.170.78","0.9200","300"
"34519107","E021BDE28BFF146752A6F24AA52E306B","100","25","1","neodev","MAR","Berrechid","105.156.241.12","0.9600","525"
"34550698","93","80","20","1","indivillagetest","IND",,"202.53.75.92","0.9500","300"
"34592006","8038564","10","6","1","clixsense","ITA","Fermo","178.22.254.70","0.8333","300"
"34600589","8090542","100","25","4","clixsense","ITA","Sibari","151.50.24.171","0.8400","300"
"34637088","8102818","25","9","0","clixsense","IND","Hyderabad","183.83.230.243","1.0000","300"
"34651510","382998","60","16","1","gifthunterclub","ESP","Barcelona","91.126.239.193","0.9375","300"
"34684472","88745","100","25","0","elite","RUS","Moscow","109.252.38.45","1.0000","300"
"34692791","88852","100","25","3","elite","TUR","Istanbul","78.171.132.39","0.8800","300"
"34744709","89446","90","18","2","elite","VNM","Hanoi","117.7.208.4","0.8889","5"
"34758723","95","95","23","1","indivillagetest","IND",,"202.53.75.92","0.9565","300"
"34818655","8165867","30","10","2","clixsense","ROU","Blaj","86.123.92.2","0.8000","300"
"34863216","91431","80","20","4","elite","BIH","Sarajevo","92.36.152.48","0.8000","346"
"34899585","77530BC318326E2EDE1C1F776E860E31","100","25","2","neodev","MAR","Berrechid","41.249.164.241","0.9200","333"
"34908976","8196115","73","19","5","clixsense","ESP","Igualada","81.39.138.196","0.7368","300"
"34965909","8215171","100","25","5","clixsense","IND","Eluru","119.235.50.70","0.8000","300"
"34971716","2ABAF7FD5676F3B64F09095DD5433594","85","21","5","neodev","HUN","Budapest","80.98.246.101","0.7619","400"
"35002805","4F7EF4F33ACC1A24F063FCF4079B2070","100","25","3","neodev","VNM","Ho Chi Minh City","115.73.168.246","0.8800","20"
"35004629","8229231","70","18","3","clixsense","MYS","Kuala Lumpur","183.171.170.89","0.8333","300"
"35056220","F8B0C770E99BC2D78D7FCC5998E70925","80","20","1","neodev","SRB","Belgrade","87.116.189.233","0.9500","300"
"35075491","8254045","25","9","2","clixsense","IND","Chennai","1.23.23.39","0.7778","300"
"35077324","98","100","24","2","indivillagetest","IND",,"202.53.75.92","0.9167","317"
"35108698","8266418","75","19","2","clixsense","PRT",,"94.133.198.189","0.8947","19"
"35142313","D4BD1B80AD24BD63B61ED642EC5D9C7B","100","25","2","neodev","TUN",,"197.31.196.39","0.9200","300"
"35158997","94840","95","23","2","elite","SRB","Belgrade","77.46.186.205","0.9130","300"
"35188541","0F04E4F6F2BDA05E3A7EF6E57C5562DE","100","25","3","neodev","USA","Lewes","104.238.58.11","0.8800","332"
"35261421","3C557B71449EFABDF063FCF4079B2070","100","25","3","neodev","KAZ","Lisakovsk","178.90.134.200","0.8800","300"
"35346065","8343451","20","8","1","clixsense","IND","Nagpur","117.203.120.70","0.8750","300"
"35357755","97922","100","25","2","elite","BIH","Tuzla","31.176.198.48","0.9200","316"
"35547552","6C0448E6E73D910EBE2CB08758655D00","100","25","1","neodev","SRB","Belgrade","95.180.45.241","0.9600","300"
"35597724","130","45","13","1","indivillagetest","IND",,"202.53.75.92","0.9231","300"
"35597727","117","100","25","2","indivillagetest","IND",,"202.53.75.92","0.9200","300"
"35597733","119","65","17","3","indivillagetest","IND",,"202.53.75.92","0.8235","300"
"35597742","120","90","22","2","indivillagetest","IND",,"202.53.75.92","0.9091","300"
"35597774","126","100","25","2","indivillagetest","IND",,"202.53.75.92","0.9200","300"
"35597784","123","100","25","1","indivillagetest","IND",,"202.53.75.92","0.9600","300"
"35597827","129","100","25","2","indivillagetest","IND",,"202.53.75.92","0.9200","300"
"35598750","133","55","15","3","indivillagetest","IND",,"202.53.75.92","0.8000","300"
"35598752","134","100","25","2","indivillagetest","IND",,"202.53.75.92","0.9200","300"
"35598762","135","100","22","0","indivillagetest","IND",,"202.53.75.92","1.0000","18"
"35599549","105390","100","25","5","elite","TUR","Nevsehir","88.249.56.218","0.8000","300"
"35604272","8438760","100","25","2","clixsense","ISR","Tel Aviv","79.176.53.66","0.9200","300"
"35612835","106029","10","6","0","elite","VNM","Hanoi","117.0.173.46","1.0000","300"
"35634851","8449934","25","9","1","clixsense","UKR",,"91.189.131.18","0.8889","40"
"35645681","32E7FA1780441A5EC72447F05A7256A4","45","13","2","neodev","VNM","Hanoi","113.182.57.159","0.8462","300"
"35676572","8363890","10","6","1","clixsense","IND","Kolkata","101.212.69.115","0.8333","300"
"35760060","DBEB9BF7142375DADEC62BDF2B4C9E80","10","6","1","neodev","COL","Bogotá","186.80.65.157","0.8333","300"
"35789441","7D5A6B9869619C4A274850ECB9537659","100","25","3","neodev","TUR","Ankara","212.175.99.79","0.8800","315"
"35792870","2579013","100","25","2","clixsense","IND","Surat","175.100.148.107","0.9200","300"
"35831943","29D626925C0C4DEE3A7EF6E57C5562DE","55","15","3","neodev","SRB","Beograd","89.110.249.146","0.8000","300"
"35919744","696D72496D98B83F008D8D1D7EF00A28","15","7","1","neodev","VEN","Caracas","190.38.180.222","0.8571","300"
"36063465","113046","100","25","2","elite","SRB","Zrenjanin","188.2.121.171","0.9200","300"
"36069039","AEBEE0A7BED23AA2204CFC72B9696897","55","15","1","neodev","SRB","Belgrade","93.86.232.188","0.9333","300"
"36113457","8B1510A0C617C805A72773646D413314","10","6","1","neodev","EGY",,"197.52.204.24","0.8333","300"
"36123238","73661CA5A42B97880CAD5F2CDE485D23","100","25","2","neodev","ROU","Bucharest","5.12.103.45","0.9200","350"
"36130042","75E85C636AF63ABA73E05796892CA53D","100","25","6","neodev","IND",,"117.228.126.94","0.7600","300"
"36130898","8618071","100","25","3","clixsense","IND","Kolkata","101.221.134.76","0.8800","300"
"36163077","114043","100","25","0","elite","HUN",,"94.27.205.137","1.0000","371"
"36202213","8645766","45","13","1","clixsense","TUR","Istanbul","88.240.26.41","0.9231","54"
"36234638","114998","10","6","0","elite","IDN","Jakarta","202.62.16.128","1.0000","300"
"36237647","115056","20","8","0","elite","RUS","Samara","188.162.37.91","1.0000","300"
"36302294","8680661","40","12","2","clixsense","SRB","Belgrade","178.148.57.176","0.8333","300"
"36324094","115999","45","13","1","elite","SRB","Belgrade","95.180.83.61","0.9231","300"
"36325782","8689202","100","25","2","clixsense","TUR","Mugla","194.27.154.87","0.9200","300"
"36325839","peace08","10","6","1","instagc","VEN","Maracaibo","186.94.20.56","0.8333","300"
"36327761","116044","100","24","6","elite","BRA","Rio De Janeiro","201.37.61.137","0.7500","50"
"36339732","116175","10","5","0","elite","IDN","Surabaya","125.164.48.134","1.0000","300"
"36347557","116267","20","7","0","elite","IDN","Surabaya","125.164.48.134","1.0000","300"
"36401912","8707656","30","10","0","clixsense","RUS","Biysk","193.34.160.65","1.0000","300"
"36448777","18478454","100","25","5","prodege","USA","Towson","69.250.26.166","0.8000","300"
"36517353","8758888","50","14","2","clixsense","BIH","Lukavac","5.149.74.248","0.8571","300"
"36537591","6D3D3E45282FE568D4AEAD5A57F84A6A","10","6","0","neodev","VEN","Mérida","190.78.54.99","1.0000","300"
"36593967","30A698E47B6E57726E334AF42C1D2A3F","100","25","6","neodev","BIH","Tuzla","89.146.138.70","0.7600","300"
"36607939","D5B0FFFD003408A8BE88392C7C4AEDF0","95","23","1","neodev","ESP","León","81.172.102.211","0.9565","30"
"36711397","0680124E8634C892DEF77F94FE295A6E","60","16","1","neodev","USA","Secaucus","104.37.191.3","0.9375","360"
"36745135","120494","100","25","4","elite","TUR","Sivas","78.163.135.108","0.8400","300"
"36828689","121334","100","25","4","elite","TUR","Istanbul","78.171.156.67","0.8400","300"
"37074293","1827956","65","17","0","tremorgames","PRT","Lisbon","194.210.230.25","1.0000","300"
