"crowdflower_id","trusted_answers","last_answer_at","class","class_confidence","ground_truth_class","comments","account_type","dataset","twitter_user_id","twitter_screen_name"
"911068468","3","2016-04-04 11:43:57","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","19300510","CarlosZenteno"
"911068469","3","2016-04-04 10:30:22","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","19368233","FionnJordan"
"911068470","3","2016-04-04 11:52:48","genuine","0.6957","genuine",,"genuine accounts","genuine accounts","19406030","Owaizoo"
"911068471","3","2016-04-04 11:11:28","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","19759124","Styla73"
"911068472","3","2016-04-04 11:31:36","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","19849696","Blazedd"
"911068473","3","2016-04-04 11:50:52","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","20139449","paulgailey"
"911068474","3","2016-04-04 11:59:05","genuine","0.6557","genuine",,"genuine accounts","genuine accounts","20219315","lauardelean"
"911068475","3","2016-04-04 11:50:15","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","20455924","bertiliemberg"
"911068476","3","2016-04-04 11:16:22","spambot","0.6854","genuine",,"genuine accounts","genuine accounts","20773759","rainborn8228"
"911068477","3","2016-04-04 11:01:39","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","20849470","yashrajbhalerao"
"911068478","3","2016-04-04 10:56:23","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","21281949","Maggiemelba"
"911068479","3","2016-04-04 12:02:03","spambot","0.6622","spambot",,"social spambots","social spambots #3","21331733","DavidVarrone"
"911068480","3","2016-04-04 10:54:54","genuine","0.6716","genuine",,"genuine accounts","genuine accounts","21345227","VictorB123"
"911068481","3","2016-04-04 11:25:31","genuine","0.6547","genuine",,"genuine accounts","genuine accounts","21425831","OnTheJumbotron"
"911068482","3","2016-04-04 11:07:38","spambot","0.6812","spambot",,"traditional spambots","traditional spambots #4","21478911","tmj_clt_util"
"911068483","3","2016-04-04 11:09:28","spambot","0.6885","spambot",,"traditional spambots","traditional spambots #4","21479094","tmj_sfo_util"
"911068484","3","2016-04-04 11:53:19","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21479204","tmj_dc_util"
"911068485","3","2016-04-04 10:53:49","spambot","0.6825","spambot",,"traditional spambots","traditional spambots #4","21479275","tmj_jax_util"
"911068486","3","2016-04-04 11:31:56","spambot","0.6912","spambot",,"traditional spambots","traditional spambots #4","21479334","tmj_chi_util"
"911068487","3","2016-04-04 10:46:22","genuine","0.6957","spambot",,"traditional spambots","traditional spambots #4","21479394","tmj_bos_util"
"911068488","3","2016-04-04 11:53:01","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21479442","tmj_dfw_util"
"911068489","3","2016-04-04 10:36:59","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21479515","tmj_nyc_util"
"911068490","3","2016-04-04 12:01:53","spambot","0.6774","spambot",,"traditional spambots","traditional spambots #4","21479634","tmj_chh_util"
"911068491","3","2016-04-04 11:54:27","spambot","0.6595","spambot","@tmj_bal_util hasn't tweeted yet.","traditional spambots","traditional spambots #4","21479698","tmj_bal_util"
"911068492","3","2016-04-04 10:49:26","spambot","0.6818","spambot",,"traditional spambots","traditional spambots #4","21479860","tmj_lax_util"
"911068497","3","2016-04-04 11:05:15","spambot","0.6429","spambot",,"traditional spambots","traditional spambots #4","21479914","tmj_atl_util"
"911068498","3","2016-04-04 11:19:38","spambot","0.6567","spambot","account has been protected","traditional spambots","traditional spambots #4","21479977","tmj_bhm_util"
"911068499","3","2016-04-04 11:30:46","spambot","0.6875","spambot","no se puede entrar","traditional spambots","traditional spambots #4","21480027","tmj_mob_util"
"911068500","3","2016-04-04 10:44:40","spambot","0.6714","spambot",,"traditional spambots","traditional spambots #4","21480769","tmj_van_util"
"911068501","3","2016-04-04 10:29:35","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21482763","tmj_in_mgmt"
"911068502","3","2016-04-04 10:29:55","spambot","0.6406","spambot",,"traditional spambots","traditional spambots #4","21483823","tmj_sd_mgmt"
"911068503","3","2016-04-04 11:49:13","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21484370","tmj_tpa_util"
"911068504","3","2016-04-04 13:57:33","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21567392","tmj_hi_mgmt"
"911068505","3","2016-04-04 11:39:46","spambot","0.6866","spambot",,"traditional spambots","traditional spambots #4","21567639","tmj_id_mgmt"
"911068506","3","2016-04-04 11:27:07","spambot","0.6618","spambot",,"traditional spambots","traditional spambots #4","21568376","tmj_hou_util"
"911068507","3","2016-04-04 11:41:01","spambot","0.6818","spambot",,"traditional spambots","traditional spambots #4","21629042","tmj_tul_util"
"911068508","3","2016-04-04 11:50:42","spambot","0.6839","spambot",,"traditional spambots","traditional spambots #4","21629735","tmj_okc_util"
"911068509","3","2016-04-04 11:35:54","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21630333","tmj_njn_util"
"911068510","3","2016-04-04 11:18:02","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","21671968","GiasCloset"
"911068511","3","2016-04-04 11:54:47","genuine","0.6547","spambot",,"traditional spambots","traditional spambots #4","21674676","tmj_aus_util"
"911068512","3","2016-04-04 11:29:04","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21677965","tmj_sea_util"
"911068513","3","2016-04-04 11:50:56","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21678728","tmj_cle_util"
"911068514","3","2016-04-04 10:37:50","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21680130","tmj_slc_util"
"911068515","3","2016-04-04 11:52:27","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21681088","tmj_msp_util"
"911068516","3","2016-04-04 11:42:19","spambot","0.6618","spambot",,"traditional spambots","traditional spambots #4","21684197","tmj_phx_util"
"911068517","3","2016-04-04 11:40:55","spambot","0.6496","spambot","No more information","traditional spambots","traditional spambots #4","21684270","tmj_tuc_util"
"911068518","3","2016-04-04 11:46:05","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21685911","tmj_phl_util"
"911068519","3","2016-04-04 11:35:08","spambot","0.6553","spambot",,"traditional spambots","traditional spambots #4","21686515","tmj_pdx_util"
"911068520","3","2016-04-04 11:56:27","spambot","0.7142","spambot",,"traditional spambots","traditional spambots #4","21696097","tmj_sat_util"
"911068521","3","2016-04-04 10:17:23","spambot","0.6835","spambot",,"traditional spambots","traditional spambots #4","21705621","tmj_san_util"
"911068522","3","2016-04-04 11:40:04","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21706193","tmj_az_mgmt"
"911068523","3","2016-04-04 10:08:50","spambot","0.6716","spambot",,"traditional spambots","traditional spambots #4","21707595","tmj_mem_util"
"911068524","3","2016-04-04 10:59:08","genuine","0.6667","spambot",,"traditional spambots","traditional spambots #4","21713167","tmj_sjc_util"
"911068525","3","2016-04-04 11:37:06","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21723832","tmj_dtw_util"
"911068526","3","2016-04-04 11:04:56","genuine","1.0000","spambot",,"traditional spambots","traditional spambots #4","21726078","tmj_ind_util"
"911068527","3","2016-04-04 12:04:02","spambot","0.6660","spambot",,"traditional spambots","traditional spambots #4","21728481","tmj_mke_util"
"911068528","3","2016-04-04 11:17:22","spambot","0.6493","spambot",,"traditional spambots","traditional spambots #4","21729815","tmj_bna_util"
"911068529","3","2016-04-04 11:51:01","spambot","0.6938","spambot",,"traditional spambots","traditional spambots #4","21730510","tmj_sdf_util"
"911068530","3","2016-04-04 11:22:12","unable","0.6426","spambot","protected
account has been protected","traditional spambots","traditional spambots #4","21730941","tmj_las_util"
"911068531","3","2016-04-04 11:48:25","genuine","0.6678","spambot",,"traditional spambots","traditional spambots #4","21763432","tmj_lon_util"
"911068532","3","2016-04-04 11:13:06","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21830006","tmj_wy_mgmt"
"911068533","3","2016-04-04 10:26:20","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","21959183","2hip4tv"
"911068534","3","2016-04-04 11:58:47","spambot","0.6758","spambot",,"traditional spambots","traditional spambots #4","21965822","tmj_cin_util"
"911068535","3","2016-04-04 11:18:27","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21967306","tmj_cae_it"
"911068536","3","2016-04-04 14:07:00","spambot","0.6667","spambot",,"traditional spambots","traditional spambots #4","21967510","tmj_cae_banking"
"911068537","3","2016-04-04 10:49:26","spambot","0.6818","spambot",,"traditional spambots","traditional spambots #4","21967668","tmj_cae_sales"
"911068538","3","2016-04-04 11:18:42","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21967892","tmj_cae_health"
"911068539","3","2016-04-04 11:18:56","genuine","1.0000","spambot",,"traditional spambots","traditional spambots #4","21968201","tmj_cae_manuf"
"911068540","3","2016-04-04 11:42:39","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21968719","tmj_cae_constru"
"911068541","3","2016-04-04 11:19:20","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","21969267","tmj_cae_edu"
"911068542","3","2016-04-04 10:54:36","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22010527","tmj_est1_jobs"
"911068543","3","2016-04-04 11:20:37","genuine","0.7015","genuine",,"genuine accounts","genuine accounts","22020084","Pinoykritiko"
"911068544","3","2016-04-04 11:19:54","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22025314","tmj_wa_mgmt"
"911068545","3","2016-04-04 11:50:42","spambot","0.6839","spambot",,"traditional spambots","traditional spambots #4","22026158","tmj_ct_mgmt"
"911068546","3","2016-04-04 11:48:00","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22028233","tmj_ken1_jobs"
"911068547","3","2016-04-04 11:56:23","spambot","0.6923","spambot",,"traditional spambots","traditional spambots #4","22028414","tmj_wi_mgmt"
"911068548","3","2016-04-04 11:52:18","spambot","0.6578","spambot",,"traditional spambots","traditional spambots #4","22028695","tmj_nh_mgmt"
"911068549","3","2016-04-04 10:43:27","spambot","0.6765","spambot",,"traditional spambots","traditional spambots #4","22030301","tmj_tx_mgmt"
"911068550","3","2016-04-04 11:53:22","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22030384","tmj_ks_mgmt"
"911068551","3","2016-04-04 11:31:57","spambot","0.6842","spambot",,"traditional spambots","traditional spambots #4","22030524","tmj_fl_mgmt"
"911068552","3","2016-04-04 10:39:43","spambot","0.6927","spambot",,"traditional spambots","traditional spambots #4","22030724","tmj_wv_mgmt"
"911068553","3","2016-04-04 11:43:21","spambot","0.6613","spambot",,"traditional spambots","traditional spambots #4","22032722","tmj_ia_mgmt"
"911068554","3","2016-04-04 11:13:05","spambot","0.6667","spambot",,"traditional spambots","traditional spambots #4","22033042","tmj_nd_mgmt"
"911068555","3","2016-04-04 11:23:55","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22033273","tmj_svn1_jobs"
"911068556","3","2016-04-04 11:12:06","genuine","0.6866","spambot",,"traditional spambots","traditional spambots #4","22036045","tmj_orl_it"
"911068557","3","2016-04-04 11:59:07","spambot","0.6667","spambot",,"traditional spambots","traditional spambots #4","22036335","tmj_orl_banking"
"911068558","3","2016-04-04 10:39:00","spambot","0.6377","spambot",,"traditional spambots","traditional spambots #4","22036558","tmj_orl_sales"
"911068559","3","2016-04-04 11:14:16","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22036700","tmj_orl_health"
"911068560","3","2016-04-04 10:24:31","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22036862","tmj_orl_manuf"
"911068561","3","2016-04-04 11:30:07","spambot","0.6462","spambot",,"traditional spambots","traditional spambots #4","22037090","tmj_orl_util"
"911068562","3","2016-04-04 12:04:04","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22037363","tmj_orl_constru"
"911068563","3","2016-04-04 11:14:53","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22037511","tmj_orl_govern"
"911068564","3","2016-04-04 11:05:59","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22037687","tmj_orl_edu"
"911068565","3","2016-04-04 11:27:05","spambot","0.6908","spambot",,"traditional spambots","traditional spambots #4","22054390","tmj_nv_mgmt"
"911068566","3","2016-04-04 11:49:54","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","22201064","CurlsAloud24"
"911068567","3","2016-04-04 11:26:34","unable","0.3380","genuine","User @msmariasp yet wrote nothing.","genuine accounts","genuine accounts","22207145","MsMariaSp"
"911068568","3","2016-04-04 10:57:24","spambot","0.6765","spambot",,"traditional spambots","traditional spambots #3","22256645","GreatestQuotes"
"911068569","3","2016-04-04 10:30:08","spambot","0.6741","spambot",,"traditional spambots","traditional spambots #4","22262660","tmj_mia_util"
"911068570","3","2016-04-04 11:47:22","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","22278466","ondinemonet"
"911068571","3","2016-04-04 10:27:49","spambot","0.6866","spambot",,"traditional spambots","traditional spambots #4","22287588","tmj_cae_nursing"
"911068572","3","2016-04-04 11:20:48","genuine","0.6667","spambot",,"traditional spambots","traditional spambots #4","22293089","tmj_orl_nursing"
"911068573","3","2016-04-04 11:36:17","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22294066","tmj_cae_adv"
"911068574","3","2016-04-04 10:58:45","spambot","0.7059","spambot",,"social spambots","social spambots #3","22316443","ShowYouSuccess"
"911068575","3","2016-04-04 11:27:55","genuine","0.6818","spambot",,"traditional spambots","traditional spambots #4","22324329","tmj_md_mgmt"
"911068576","3","2016-04-04 10:11:36","spambot","0.6294","spambot",,"traditional spambots","traditional spambots #4","22328759","tmj_ga_mgmt"
"911068577","3","2016-04-04 10:54:21","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22328975","tmj_cae_legal"
"911068578","3","2016-04-04 10:56:10","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22363501","tmj_tn_mgmt"
"911068579","3","2016-04-04 11:57:52","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22363847","tmj_de_mgmt"
"911068580","3","2016-04-04 11:05:59","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22365931","tmj_mt_mgmt"
"911068581","3","2016-04-04 10:39:29","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22366503","tmj_ri_mgmt"
"911068582","3","2016-04-04 10:42:18","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22369946","tmj_nm_mgmt"
"911068583","3","2016-04-04 10:58:51","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22394939","tmj_la_mgmt"
"911068584","3","2016-04-04 11:45:48","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22408580","tmj_cae_itpm"
"911068585","3","2016-04-04 10:10:21","genuine","0.6259","spambot",,"traditional spambots","traditional spambots #4","22411670","tmj_orl_itpm"
"911068586","3","2016-04-04 11:21:15","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","22437649","Shay1990"
"911068587","3","2016-04-04 11:31:36","spambot","0.6719","spambot",,"traditional spambots","traditional spambots #4","22444380","tmj_cae_itqa"
"911068588","3","2016-04-04 11:39:45","spambot","0.6753","spambot",,"traditional spambots","traditional spambots #4","22450103","tmj_orl_itqa"
"911068589","3","2016-04-04 10:21:11","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22516953","tmj_cae_hrta"
"911068590","3","2016-04-04 11:22:56","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22536061","tmj_orl_hrta"
"911068591","3","2016-04-04 11:50:21","spambot","0.6670","spambot",,"traditional spambots","traditional spambots #4","22574982","tmj_cob_cstsrv1"
"911068592","3","2016-04-04 11:44:38","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22578323","tmj_orl_media"
"911068593","3","2016-04-04 10:40:56","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","22600734","ninamarie_4"
"911068594","3","2016-04-04 10:08:07","spambot","0.6825","spambot",,"traditional spambots","traditional spambots #4","22635533","tmj_sac_util"
"911068595","3","2016-04-04 10:32:03","spambot","0.6658","spambot",,"traditional spambots","traditional spambots #4","22663627","tmj_kan_util"
"911068596","3","2016-04-04 11:28:29","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22726923","tmj_orf_it"
"911068597","3","2016-04-04 10:49:25","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22727181","tmj_orf_banking"
"911068598","3","2016-04-04 11:34:08","spambot","0.6479","spambot",,"traditional spambots","traditional spambots #4","22727451","tmj_orf_sales"
"911068599","3","2016-04-04 11:50:24","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22727640","tmj_orf_health"
"911068600","3","2016-04-04 11:19:20","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22727886","tmj_orf_manuf"
"911068601","3","2016-04-04 11:09:44","spambot","0.6777","spambot",,"traditional spambots","traditional spambots #4","22728115","tmj_orf_util"
"911068602","3","2016-04-04 10:37:02","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22728442","tmj_orf_constru"
"911068603","3","2016-04-04 11:27:07","spambot","0.6866","spambot",,"traditional spambots","traditional spambots #4","22728691","tmj_orf_govern"
"911068604","3","2016-04-04 11:36:52","spambot","0.6058","spambot",,"traditional spambots","traditional spambots #4","22728906","tmj_orf_edu"
"911068605","3","2016-04-04 11:11:42","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22729091","tmj_orf_nursing"
"911068606","3","2016-04-04 10:55:36","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22729338","tmj_orf_adv"
"911068607","3","2016-04-04 11:23:44","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22729851","tmj_orf_legal"
"911068608","3","2016-04-04 11:15:22","spambot","0.6876","spambot",,"traditional spambots","traditional spambots #4","22729996","tmj_orf_itpm"
"911068609","3","2016-04-04 11:37:56","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22730174","tmj_orf_itqa"
"911068610","3","2016-04-04 10:27:36","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #4","22730342","tmj_orf_hrta"
"911068611","3","2016-04-04 11:11:26","genuine","0.6667","spambot",,"traditional spambots","traditional spambots #4","22730529","tmj_orf_media"
"911068612","3","2016-04-04 11:19:54","spambot","0.6667","spambot",,"traditional spambots","traditional spambots #4","22737230","tmj_cob_itjava1"
